x,y
5.27987,13.4999
5.3859,13.3304
5.49002,13.1597
5.59294,12.9882
5.69423,12.8159
5.7913,12.6411
5.88341,12.4636
5.97157,12.2841
6.05685,12.1033
6.14031,11.9216
6.22321,11.7396
6.30709,11.5581
6.39348,11.3778
6.48381,11.1994
6.57989,11.0241
6.68336,10.8531
6.79533,10.6875
6.91684,10.5288
7.05003,10.3799
7.19662,10.2442
7.35389,10.1209
7.52034,10.0103
7.69484,9.91295
7.87685,9.83055
8.06514,9.76359
8.25751,9.70927
8.45249,9.66513
8.64902,9.6284
8.84653,9.59732
9.04474,9.57102
9.2433,9.5475
9.44199,9.52503
9.6406,9.50195
9.83898,9.47692
10.0369,9.4487
10.2342,9.41608
10.4304,9.37788
10.6256,9.33452
10.8204,9.28928
11.0149,9.24291
11.2088,9.19425
11.4015,9.14107
11.5924,9.08166
11.78,9.01278
11.9599,8.9262
12.1087,8.80163
12.1853,8.62004
12.2098,8.42185
12.2167,8.22208
12.2136,8.02219
12.2033,7.82251
12.1894,7.62305
12.1731,7.42376
12.1556,7.22458
12.1364,7.02556
12.1125,6.82706
12.0831,6.6293
12.0492,6.43225
12.0122,6.23575
11.9734,6.0396
11.9341,5.84354
11.8958,5.64729
11.8603,5.45053
11.8291,5.25304
11.8037,5.05474
11.7853,4.85566
11.7775,4.65599
11.7845,4.45629
11.8066,4.2577
11.8439,4.0614
11.8962,3.86854
11.9648,3.68099
12.0509,3.50067
12.1506,3.32748
12.2626,3.16198
12.385,3.00394
12.5157,2.85275
12.6532,2.7076
12.7951,2.56672
12.9401,2.4291
13.0869,2.29335
13.2343,2.15824
13.3814,2.02274
13.5271,1.88589
13.6707,1.74676
13.8112,1.60448
13.9477,1.45838
14.0804,1.30887
14.2114,1.15777
14.3417,1.0061
14.47,0.852784
14.5948,0.696536
14.7143,0.536258
14.8252,0.370044
14.9185,0.193805
14.9615,0.00318546
14.9198,-0.188748
14.8267,-0.365141
14.7156,-0.531279
14.5956,-0.691145
14.4698,-0.846592
14.3411,-0.999544
14.2106,-1.15109
14.0793,-1.30191
13.9467,-1.45156
13.8108,-1.59818
13.6708,-1.74088
13.5276,-1.88045
13.3822,-2.01774
13.2356,-2.15369
13.0887,-2.28929
12.9423,-2.42549
12.7974,-2.56326
12.6554,-2.70407
12.5184,-2.84965
12.3877,-3.00093
12.2651,-3.15875
12.1529,-3.32411
12.0523,-3.49677
11.9667,-3.67717
11.8982,-3.86485
11.845,-4.05745
11.8074,-4.25366
11.7845,-4.45218
11.7777,-4.65181
11.7855,-4.85154
11.8032,-5.05066
11.8287,-5.24894
11.8603,-5.44637
11.8962,-5.64307
11.9346,-5.8393
11.974,-6.03532
12.013,-6.23143
12.0502,-6.4279
12.0841,-6.62494
12.1137,-6.82268
12.1377,-7.02116
12.157,-7.22017
12.1747,-7.41934
12.1913,-7.6186
12.2052,-7.81806
12.2146,-8.01778
12.2183,-8.21767
12.2108,-8.41732
12.1845,-8.61524
12.1092,-8.79601
11.9642,-8.92562
11.784,-9.01143
11.5965,-9.08059
11.4055,-9.13948
11.2126,-9.19223
11.0188,-9.24141
10.8244,-9.28814
10.6296,-9.33344
10.4344,-9.37643
10.2381,-9.41458
10.0409,-9.44723
9.84292,-9.47543
9.64454,-9.50044
9.44593,-9.52351
9.24726,-9.54614
9.04873,-9.56995
8.85053,-9.59634
8.65296,-9.62697
8.45647,-9.66386
8.26169,-9.70883
8.0691,-9.76242
7.88087,-9.82927
7.69891,-9.91178
7.52408,-10.0085
7.35753,-10.1189
7.19954,-10.2412
7.05358,-10.3775
6.92013,-10.5262
6.79772,-10.6841
6.68616,-10.8499
6.58315,-11.0213
6.48651,-11.1963
6.39582,-11.3745
6.30962,-11.5549
6.22582,-11.7364
6.14289,-11.9184
6.05949,-12.1001
5.97434,-12.281
5.88631,-12.4605
5.79435,-12.6381
5.69745,-12.8129
5.59645,-12.9855
5.49363,-13.157
5.38952,-13.3277
5.28298,-13.4969
5.17271,-13.6637
5.0578,-13.8273
4.93436,-13.9844
4.79603,-14.1283
4.62622,-14.2268
4.43124,-14.2469
4.23453,-14.2151
4.04207,-14.1614
3.85309,-14.0962
3.66618,-14.0252
3.48052,-13.951
3.29579,-13.8745
3.11161,-13.7966
2.92839,-13.7166
2.74719,-13.6321
2.56836,-13.5427
2.39157,-13.4493
2.21631,-13.353
2.04196,-13.2551
1.93827,-13.1302
2.00376,-12.9413
2.06926,-12.7524
2.13065,-12.5624
2.16195,-12.3649
2.19326,-12.1675
2.22456,-11.97
2.15339,-11.8469
1.95682,-11.8103
1.76115,-11.7692
1.56615,-11.725
1.37107,-11.6811
1.17535,-11.6401
0.978906,-11.6029
0.781736,-11.5697
0.58386,-11.5409
0.385247,-11.5179
0.185909,-11.5024
-0.0139633,-11.4975
-0.213803,-11.5036
-0.413215,-11.5181
-0.611967,-11.5399
-0.809981,-11.5676
-1.00724,-11.6003
-1.20368,-11.6376
-1.39937,-11.6786
-1.59466,-11.7216
-1.79007,-11.7639
-1.98604,-11.8036
-2.18283,-11.8391
-2.38062,-11.8684
-2.57873,-11.8954
-2.77719,-11.9198
-2.97594,-11.9417
-3.17464,-11.964
-3.37303,-11.9889
-3.57088,-12.0179
-3.76838,-12.0491
-3.95642,-11.9863
-4.11221,-11.8615
-4.254,-11.7205
-4.3977,-11.5815
-4.54331,-11.4445
-4.69106,-11.3097
-4.83954,-11.1758
-4.98731,-11.0411
-5.13342,-10.9046
-5.27459,-10.763
-5.41214,-10.6179
-5.5472,-10.4705
-5.68155,-10.3224
-5.81709,-10.1754
-5.95389,-10.0295
-6.09232,-9.88525
-6.23495,-9.74511
-6.38216,-9.6098
-6.5336,-9.47924
-6.68972,-9.35431
-6.85189,-9.23734
-7.01926,-9.12795
-7.18976,-9.02351
-7.364,-8.92542
-7.54152,-8.83339
-7.72116,-8.74559
-7.90221,-8.66072
-8.08438,-8.5783
-8.26681,-8.49645
-8.4483,-8.41253
-8.62823,-8.32531
-8.80588,-8.23353
-8.98072,-8.13653
-9.15487,-8.03828
-9.32855,-7.93921
-9.5029,-7.84131
-9.67864,-7.74593
-9.85604,-7.65369
-10.0352,-7.56494
-10.2148,-7.47703
-10.2829,-7.28986
-10.3191,-7.09321
-10.3531,-6.89616
-10.3909,-6.69981
-10.4315,-6.50403
-10.4728,-6.30838
-10.5126,-6.11243
-10.5504,-5.91609
-10.5841,-5.719
-10.6118,-5.52098
-10.6358,-5.32247
-10.6573,-5.12368
-10.6778,-4.92478
-10.6993,-4.72599
-10.7238,-4.52753
-10.7526,-4.32968
-10.7893,-4.13313
-10.8315,-3.93767
-10.8794,-3.74355
-10.9365,-3.55192
-11.0034,-3.3635
-11.0783,-3.17809
-11.1598,-2.99554
-11.2501,-2.81712
-11.3445,-2.64084
-11.442,-2.46631
-11.5419,-2.29309
-11.6432,-2.12069
-11.7447,-1.94841
-11.8445,-1.77513
-11.9404,-1.59967
-12.0305,-1.42117
-12.1156,-1.24026
-12.1989,-1.05846
-12.2802,-0.8758
-12.3612,-0.693012
-12.4446,-0.511256
-12.5314,-0.331114
-12.6119,-0.148277
-12.6458,0.0469783
-12.5531,0.224137
-12.4597,0.400964
