x,y
5.49285,13.155
5.59577,12.9836
5.69695,12.8111
5.7939,12.6362
5.88589,12.4587
5.97397,12.2791
6.0592,12.0982
6.14264,11.9165
6.22556,11.7345
6.30951,11.5531
6.396,11.3728
6.48649,11.1945
6.58277,11.0192
6.68648,10.8483
6.79872,10.6829
6.92055,10.5244
7.05416,10.3759
7.20108,10.2405
7.35865,10.1176
7.52535,10.0074
7.70009,9.91041
7.88232,9.82848
8.07077,9.7619
8.26324,9.7079
8.45829,9.66399
8.65487,9.62743
8.85242,9.5965
9.05066,9.57029
9.24925,9.54682
9.44796,9.52433
9.64658,9.50121
9.84497,9.47608
10.0429,9.44773
10.2402,9.41495
10.4364,9.37654
10.6316,9.33311
10.8264,9.28784
11.0209,9.24141
11.2148,9.19263
11.4075,9.13927
11.5983,9.07965
11.7857,9.01028
11.9653,8.92303
12.1118,8.79617
12.1863,8.61382
12.2102,8.41554
12.2167,8.21574
12.2133,8.01584
12.2029,7.81615
12.1889,7.61667
12.1726,7.41737
12.155,7.21817
12.1357,7.01914
12.1116,6.82065
12.082,6.62289
12.048,6.42584
12.0109,6.22934
11.9721,6.03317
11.9328,5.8371
11.8946,5.64081
11.8592,5.44402
11.8282,5.24648
11.803,5.04813
11.7849,4.84901
11.7776,4.6493
11.785,4.44961
11.8077,4.25106
11.8455,4.05485
11.8983,3.86211
11.9676,3.6748
12.0541,3.49468
12.1542,3.32174
12.2667,3.15649
12.3893,2.99867
12.5204,2.8477
12.658,2.7027
12.8001,2.56194
12.9452,2.42439
13.0921,2.28867
13.2395,2.15355
13.3865,2.01801
13.5322,1.88108
13.6758,1.74184
13.8161,1.59941
13.9524,1.45316
14.0851,1.30355
14.2161,1.15242
14.3463,1.00069
14.4746,0.847268
14.5992,0.690877
14.7184,0.530406
14.8289,0.363899
14.9212,0.187142
14.9612,-0.00404143
14.9169,-0.195358
14.8228,-0.371289
14.7113,-0.53719
14.591,-0.696865
14.4651,-0.852211
14.3362,-1.00511
14.2058,-1.15664
14.0744,-1.30744
13.9417,-1.45704
13.8056,-1.60352
13.6655,-1.74611
13.5222,-1.8856
13.3767,-2.02283
13.2301,-2.15877
13.0831,-2.29439
12.9368,-2.43065
12.7919,-2.56851
12.6501,-2.70949
12.5133,-2.8553
12.3829,-3.00681
12.2606,-3.16493
12.1488,-3.33061
12.0487,-3.50354
11.9638,-3.6843
11.8959,-3.87221
11.8433,-4.06499
11.8062,-4.26134
11.7839,-4.45994
11.7778,-4.65961
11.786,-4.85934
11.8041,-5.05845
11.8299,-5.25672
11.8617,-5.45413
11.8977,-5.65083
11.9362,-5.84705
11.9756,-6.04309
12.0146,-6.23923
12.0516,-6.43574
12.0855,-6.63282
12.1148,-6.83061
12.1386,-7.02914
12.1578,-7.22818
12.1754,-7.42737
12.192,-7.62666
12.2057,-7.82615
12.2149,-8.02589
12.2184,-8.22581
12.2102,-8.42545
12.183,-8.62328
12.1046,-8.80281
11.957,-8.9296
11.7764,-9.01454
11.5887,-9.08318
11.3975,-9.14174
11.2046,-9.1943
11.0107,-9.24336
10.8163,-9.29001
10.6215,-9.33527
10.4262,-9.37812
10.2298,-9.41603
10.0325,-9.44848
9.83456,-9.47652
9.63615,-9.50142
9.4375,-9.52445
9.23882,-9.5471
9.04028,-9.57099
8.84208,-9.59752
8.64452,-9.62837
8.44808,-9.66558
8.25337,-9.71094
8.06086,-9.76489
7.87287,-9.83249
7.69117,-9.91563
7.51666,-10.013
7.35046,-10.1239
7.19283,-10.2468
7.0475,-10.3837
6.9145,-10.5329
6.79258,-10.6912
6.68146,-10.8574
6.57875,-11.0289
6.48236,-11.2041
6.39193,-11.3824
6.30587,-11.5629
6.22213,-11.7445
6.13921,-11.9265
6.05575,-12.1082
5.97049,-12.2891
5.8823,-12.4685
5.79014,-12.646
5.69299,-12.8207
5.59184,-12.9932
5.48897,-13.1647
5.38477,-13.3354
5.27809,-13.5045
5.16761,-13.6712
5.05247,-13.8347
4.92851,-13.9914
4.78937,-14.1346
4.61767,-14.2301
4.42206,-14.2464
4.22555,-14.2131
4.03326,-14.1587
3.8444,-14.0931
3.65754,-14.0219
3.47191,-13.9475
3.2872,-13.8709
3.10302,-13.793
2.91984,-13.7128
2.73874,-13.6281
2.56,-13.5384
2.38328,-13.4449
2.20807,-13.3485
2.03374,-13.2505
1.94137,-13.1213
2.0069,-12.9324
2.07242,-12.7435
2.13216,-12.5531
2.1634,-12.3556
2.19464,-12.158
2.22587,-11.9605
2.14401,-11.8452
1.94747,-11.8083
1.75182,-11.767
1.55683,-11.7226
1.36173,-11.6788
1.16595,-11.638
0.969454,-11.6009
0.77223,-11.5679
0.574297,-11.5394
0.375624,-11.5167
0.176228,-11.5016
-0.0236908,-11.4972
-0.223544,-11.5039
-0.42295,-11.5189
-0.621687,-11.5411
-0.819679,-11.5691
-1.01691,-11.6021
-1.21332,-11.6397
-1.40897,-11.681
-1.60426,-11.7241
-1.79968,-11.7665
-1.99569,-11.8061
-2.19252,-11.8414
-2.39037,-11.8704
-2.58852,-11.8974
-2.78701,-11.9216
-2.98579,-11.9435
-3.18451,-11.9658
-3.38291,-11.9908
-3.58075,-12.0199
-3.77825,-12.0513
-3.96517,-11.9819
-4.11982,-11.8552
-4.26139,-11.714
-4.4052,-11.575
-4.55093,-11.4381
-4.69873,-11.3034
-4.84723,-11.1695
-4.99495,-11.0347
-5.14088,-10.898
-5.28182,-10.7561
-5.41922,-10.6108
-5.55421,-10.4633
-5.68858,-10.3152
-5.82417,-10.1682
-5.96102,-10.0224
-6.0996,-9.87822
-6.24245,-9.73829
-6.38986,-9.60317
-6.54152,-9.47284
-6.69792,-9.34825
-6.86037,-9.23165
-7.02793,-9.12251
-7.19861,-9.01833
-7.37301,-8.92049
-7.55064,-8.82866
-7.73037,-8.74099
-7.91148,-8.65621
-8.09368,-8.57379
-8.27608,-8.49182
-8.4575,-8.4077
-8.63731,-8.32021
-8.81482,-8.22814
-8.98964,-8.13104
-9.16381,-8.03279
-9.33755,-7.93378
-9.51199,-7.83601
-9.68784,-7.7408
-9.86537,-7.64876
-10.0446,-7.56008
-10.2188,-7.4673
-10.2847,-7.27871
-10.3211,-7.08208
-10.3553,-6.88507
-10.3933,-6.68874
-10.434,-6.49296
-10.4753,-6.29728
-10.515,-6.1013
-10.5526,-5.90489
-10.5859,-5.70773
-10.6134,-5.50966
-10.6372,-5.31111
-10.6587,-5.1123
-10.6792,-4.91338
-10.7009,-4.71459
-10.7255,-4.51614
-10.7549,-4.31835
-10.7919,-4.12183
-10.8343,-3.92642
-10.8828,-3.73243
-10.9404,-3.54097
-11.0078,-3.35271
-11.083,-3.16743
-11.1651,-2.98511
-11.2556,-2.80679
-11.3502,-2.63059
-11.4479,-2.45611
-11.5478,-2.28292
-11.6491,-2.11052
-11.7505,-1.93816
-11.8501,-1.76473
-11.9456,-1.58907
-12.0354,-1.41041
-12.1205,-1.22943
-12.2037,-1.04757
-12.285,-0.864888
-12.3662,-0.682147
-12.4498,-0.50048
-12.5362,-0.320163
-12.6142,-0.136485
-12.6403,0.0573825
-12.5476,0.234601
-12.4545,0.41157
-12.3652,0.590478
-12.2788,0.770825
-12.195,0.952376
-12.1125,1.13453
-12.0294,1.31646
-11.9449,1.49768
-11.8556,1.6766
